10.88,2085,0
11.01,2086,0
10.22,2086,0
10.74,2085,0
11.12,2085,0
11.48,2085,0
10.94,2086,0
11.19,2086,0
10.85,2086,0
10.03,2085,0
10.68,2086,0
10.79,2086,0
11.38,2086,0
10.12,2085,0
10.49,2085,0
9.68,2086,0
10.09,2085,0
11.11,2085,0
11.45,2085,0
10.12,2085,0
11.53,2086,0
10.14,2085,0
10.69,2085,0
11.18,2085,0
11.24,2086,0
11.48,2086,0
11.02,2085,0
10.12,2085,0
12.07,2085,0
9.85,2086,0
10.54,2085,0
10.96,2085,0
10.92,2085,0
11.15,2086,0
9.95,2086,0
12.17,2085,0
11.65,2085,0
11.44,2086,0
10.65,2085,0
10.17,2085,0
10.51,2086,0
9.85,2086,0
9.49,2086,0
10.59,2086,0
9.44,2086,0
10.82,2085,0
10.28,2086,0
10.13,2086,0
11.15,2086,0
9.34,2086,0
10.74,2085,0
11.11,2086,0
10.77,2085,0
10.7,2085,0
9.74,2085,0
10.76,2085,0
11.47,2085,0
11.19,2086,0
11.51,2085,0
9.92,2085,0
10.12,2086,0
11.36,2085,0
10.41,2085,0
10.68,2086,0
9.67,2085,0
10.24,2086,0
9.52,2085,0
10.94,2086,0
11.11,2086,0
11.11,2085,0
11.12,2086,0
11.22,2085,0
11.74,2086,0
9.72,2086,0
9.94,2085,0
10.55,2086,0
10.88,2085,0
10.87,2086,0
11.01,2085,0
11.1,2085,0
9.92,2086,0
10.31,2086,0
10.16,2086,0
11.15,2085,0
10.61,2085,0
10.45,2085,0
10.37,2085,0
10.99,2085,0
10.94,2085,0
11.23,2086,0
11.47,2085,0
10.78,2085,0
11.54,2085,0
9.88,2086,0
9.78,2086,0
11.35,2086,0
10.95,2086,0
10.43,2085,0
11.13,2085,0
11.34,2085,0
10.88,2086,0
10.35,2085,0
10.51,2085,0
10.68,2085,0
10.65,2085,0
9.93,2085,0
10.91,2086,0
9.9,2086,0
10.8,2086,0
9.2,2085,0
10.24,2085,0
10.86,2086,0
9.97,2086,0
10.61,2085,0
10.67,2086,0
9.89,2086,0
10.61,2085,0
11.87,2086,0
11.17,2086,0
10.64,2085,0
10.37,2086,0
11.74,2086,0
10.67,2085,0
10.06,2085,0
11.56,2085,0
10.03,2085,0
10.02,2085,0
10.77,2086,0
9.61,2085,0
10.62,2085,0
10.48,2085,0
11.32,2085,0
11.49,2085,0
10.47,2085,0
10.43,2085,0
10.73,2086,0
9.71,2086,0
9.58,2085,0
10.18,2085,0
10.99,2086,0
10.94,2085,0
10.39,2085,0
10.99,2086,0
10.85,2086,0
9.52,2086,0
11.67,2086,0
10.56,2085,0
11.97,2085,0
11.28,2086,0
11.47,2086,0
10.69,2085,0
9.76,2086,0
11.13,2085,0
10.55,2085,0
11.37,2085,0
10.46,2086,0
10.38,2086,0
10.65,2086,0
11.13,2085,0
10.55,2086,0
10.11,2086,0
10.08,2085,0
10.06,2085,0
10.17,2085,0
10,2085,0
10.64,2085,0
10.02,2085,0
9.61,2085,0
10.32,2085,0
9.52,2085,0
10.06,2085,0
10.55,2086,0
10.72,2085,0
10.67,2085,0
11.04,2085,0
10.47,2085,0
11.53,2086,0
11.12,2086,0
10.27,2086,0
10.32,2085,0
10.28,2085,0
10.95,2086,0
11.96,2085,0
10.21,2085,0
10.58,2086,0
10.48,2086,0
10,2086,0
10.3,2086,0
10.69,2085,0
11.06,2086,0
11.36,2085,0
10.51,2085,0
10.97,2086,0
12.05,2086,0
11.4,2086,0
11.53,2085,0
10.14,2085,0
9.6,2085,0
10.63,2085,0
9.19,2086,0
9.96,2086,0
10.05,2085,0
10.14,2086,0
10.7,2085,0
9.36,2085,0
11.99,2086,0
11.63,2085,0
11.43,2085,0
11.01,2085,0
10.41,2086,0
11,2085,0
9.57,2086,0
9.49,2086,0
10.81,2085,0
9.98,2085,0
9.73,2085,0
11.04,2085,0
10.17,2085,0
10.35,2086,0
10.92,2086,0
11,2085,0
10.45,2086,0
10.62,2085,0
10.04,2086,0
11.09,2085,0
10.66,2086,0
10.22,2085,0
11.15,2086,0
9.66,2085,0
10.86,2086,0
10.44,2086,0
10.51,2085,0
9.99,2085,0
11.39,2085,0
10.61,2085,0
10.72,2085,0
11.97,2085,0
10.14,2085,0
10.26,2085,0
11.62,2086,0
11.37,2086,0
11.33,2085,0
11.1,2085,0
10.27,2086,0
10.16,2086,0
10.75,2086,0
11.02,2086,0
10.13,2085,0
9.99,2085,0
10.28,2086,0
9.99,2085,0
11.2,2085,0
9.68,2085,0
10.79,2085,0
10.06,2085,0
9.76,2086,0
10.57,2085,0
9.94,2085,0
10.29,2085,0
10.58,2085,0
12.06,2085,0
11.37,2085,0
10.62,2085,0
10.85,2086,0
10.17,2085,0
11.19,2086,0
11.7,2086,0
10.53,2085,0
10.52,2086,0
11.6,2085,0
11.22,2085,0
11.24,2086,0
10.94,2085,0
10.46,2085,0
10.66,2085,0
10.01,2085,0
11.05,2086,0
11.26,2086,0
10.2,2085,0
10.7,2086,0
10.81,2086,0
10.73,2085,0
10.82,2086,0
11.36,2085,0
10.75,2085,0
11.05,2086,0
10.37,2086,0
9.99,2085,0
11.03,2086,0
11.74,2085,0
11.72,2086,0
10.5,2086,0
9.6,2085,0
10.94,2086,0
11.34,2085,0
11.7,2086,0
10.72,2085,0
11.88,2086,0
12.06,2085,0
9.83,2086,0
11.02,2086,0
10.96,2085,0
11.37,2085,0
10.73,2086,0
10,2086,0
10.57,2085,0
11.48,2085,0
10.07,2085,0
10.31,2086,0
10.84,2085,0
11.99,2085,0
10.03,2086,0
10.34,2086,0
10.21,2085,0
10.57,2085,0
10.94,2086,0
10.52,2085,0
11.13,2086,0
11.3,2086,0
11.41,2085,0
11.35,2086,0
11.61,2086,0
11.1,2085,0
10.45,2085,0
11.35,2086,0
10.17,2086,0
10.79,2085,0
9.59,2085,0
10.61,2085,0
12.2,2085,0
10.85,2086,0
11.3,2085,0
11.42,2086,0
10.1,2085,0
10.54,2086,0
10.49,2085,0
11.08,2085,0
11.16,2086,0
11.73,2086,0
10.61,2086,0
10.73,2085,0
11.12,2085,0
11.32,2085,0
10.07,2086,0
11.66,2086,0
10.45,2086,0
11.1,2085,0
10.54,2086,0
10.67,2086,0
10.69,2086,0
10.53,2085,0
10.34,2086,0
11.7,2086,0
10.64,2085,0
10.63,2086,0
11.82,2085,0
10.87,2085,0
10.78,2085,0
10.79,2086,0
10.69,2086,0
11.24,2086,0
11.82,2086,0
11.54,2085,0
10.85,2086,0
10.04,2086,0
11.12,2086,0
9.89,2085,0
10.04,2085,0
12.27,2085,0
9.58,2086,0
10.44,2085,0
10.28,2086,0
11.18,2086,0
10.9,2085,0
10.64,2085,0
10.86,2085,0
11.36,2086,0
12.08,2086,0
11.12,2085,0
11.84,2085,0
10.15,2086,0
10.37,2085,0
10.62,2085,0
11.79,2085,0
11,2086,0
10.67,2085,0
10.67,2085,0
10.14,2086,0
10.77,2086,0
10.16,2086,0
11.46,2086,0
10.81,2085,0
11.61,2085,0
10.72,2086,0
10.2,2086,0
11.1,2086,0
10.07,2085,0
